ID,HAL ID,Title,Publication Date,Journal/Conference,Document Type,DOI,Authors,I2M Authors,Job Title,Research Groups,Membership Status,External Authors,Affiliations
5052620,hal-04939684,Invariance Of Abel Universality Under Composition And Applications,2024,Indiana University Mathematics Journal,ART,Unknown,"Konstantinos Maronikolakis, Myrto Manolaki, Stéphane Charpentier",['stephane charpentier'],['Maître de Conférences (MCF H)'],['AGT'],['Current'],"['konstantinos maronikolakis', 'myrto manolaki']","['University College Dublin [Dublin]', 'Bilkent University [Ankara]']"
4569557,hal-03964976,Straight-Through Meets Sparse Recovery: The Support Exploration Algorithm,2024,Unknown,COMM,Unknown,"Caroline Chaux, François Malgouyres, Mimoun Mohamed, Valentin Emiya","['moulin caroline chaux', 'valentin emiya', 'mimoun mohamed']","['Attaché Temporaire d’Enseignement et de Recherche (ATER)', 'Membre Associé', 'Chargée de Recherche (CR)']",['ALEA'],"['Former', 'Current']",['francois malgouyres'],['Institut de Mathématiques de Toulouse UMR5219']
4629437,hal-03271633,Propagation Phenomena In Periodic Patchy Landscapes With Interface Conditions,2024,Journal of Dynamics and Differential Equations,ART,10.1007/s10884-022-10134-5,"François Hamel, Frithjof Lutscher, Mingmin Zhang","['francois hamel', 'mingmin zhang']","['Doctorante (Phd Student)', 'Professeur (PR)']",['AA'],"['Former', 'Current']",['frithjof lutscher'],['University of Ottawa [Ottawa]']
4629435,hal-04055502,Propagation Or Extinction In Bistable Equations: The Non-Monotone Role Of Initial Fragmentation,2024,Discrete and Continuous Dynamical Systems - Series S,ART,10.3934/dcdss.2023165,"François Hamel, Lionel Roques, Matthieu Alfaro",['francois hamel'],['Professeur (PR)'],['AA'],['Current'],"['lionel roques', 'matthieu alfaro']","['Laboratoire de Mathématiques Raphaël Salem', 'Biostatistique et Processus Spatiaux']"
4629430,hal-03715695,Asymptotic One-Dimensional Symmetry For The Fisher-Kpp Equation,2024,Journal of the European Mathematical Society,ART,Unknown,"François Hamel, Luca Rossi",['francois hamel'],['Professeur (PR)'],['AA'],['Current'],['luca rossi'],"['Dipartimento di Matematica = Istituto Matematico ""Guido Castelnuovo"" [La Sapienza, Rome]']"
4629314,hal-04629314,Cyclic Codes Over A Non-Commutative Non-Unital Ring,2024,Mathematics,ART,10.3390/math12132014,"Adel Alahmadi, Malak Altaiary, Patrick Solé",['patrick sole'],['Directeur de Recherche (DR)'],['AGLR'],['Current'],"['adel alahmadi', 'malak altaiary']",['King Abdul Aziz University']
4625566,hal-04625566,"Coxeter Polytopes And Benjamini-Schramm Convergence', 'Polytopes De Coxeter Et Convergence De Benjamini-Schramm",2024,Bulletin de la société mathématique de France,ART,10.24033/bsmf.2884,Jean Raimbault,['jean raimbault'],['Maître de Conférences (MCF H)'],['GDAC'],['Current'],[],[]
4625560,hal-04625560,"Infinitely Many Commensurability Classes Of Compact Coxeter Polyhedra In H 4 And H 5', 'Infinitude Des Classes De Commensurabilités De Groupes De Coxeter Dans Les Espaces Hyperboliques De Dimension 4 Et 5",2024,Advances in Mathematics,ART,10.1016/j.aim.2024.109705,"Jean Raimbault, Nikolay Bogachev, Sami Douba",['jean raimbault'],['Maître de Conférences (MCF H)'],['GDAC'],['Current'],"['nikolay bogachev', 'sami douba']","['Institut des Hautes Études Scientifiques', 'University of Toronto']"
4624909,hal-04624909,Recurrence And Transience Of The Critical Random Walk Snake In Random Conductances,2024,Electronic Journal of Probability,ART,10.1214/24-EJP1264,"Alexandre Legrand, Bruno Schapira, Christophe Sabot",['bruno schapira'],['Professeur (PR)'],['ALEA'],['Current'],"['alexandre legrand', 'christophe sabot']","['Institut Camille Jordan', 'Probabilités, statistique, physique mathématique']"
4622978,hal-04622978,"Drilling Hyperbolic Groups', 'Forages De Groupes Hyperboliques",2024,Unknown,Unknown,Unknown,"Alessandro Sisto, Damian Osajda, Daniel Groves, Genevieve S. Walsh, Jason F. Manning, Peter Haïssinsky",['peter haissinsky'],['Professeur (PR)'],['GDAC'],['Current'],"['alessandro sisto', 'damian osajda', 'daniel groves', 'genevieve s. walsh', 'jason f. manning']","['Department of Mathematics [Cornell]', 'Department of Mathematics, Tufts University, Medford, MA 02155, USA', 'Department of Mathematics, Heriot-Watt University and Maxwell Institute for Mathematical Sciences, Edinburgh', 'Department of Mathematics, Statistics and Computer Science [Chicago]', 'Department of Mathematical Sciences [Copenhagen]']"
4619330,hal-04619330,Comparative Study Of Transformer Robustness For Multiple Particle Tracking Without Clutter,2024,Unknown,COMM,Unknown,"Philippe Roudot, Piyush Mishra","['piyush mishra', 'philippe roudot']","['CDD Chercheur', 'Doctorant (Phd Student)']",['ALEA'],"['Former', 'Current']",[],[]
4612379,hal-04369034,A Note On The Relaxation Process In A Class Of Non-Equilibrium Two-Phase Flow Models,2024,Communications in Mathematical Sciences,ART,10.4310/CMS.2024.v22.n6.a2,Jean-Marc Hérard,['jean marc herard'],['Membre Associé'],['AA'],['Current'],[],[]
4611236,hal-04139580,A Class Of Non Linear Adaptive Time-Frequency Transforms,2024,"Sampling Theory, Signal Processing, and Data Analysis",ART,10.1007/s43670-024-00091-z,"Bruno Torrésani, Pierre Warion","['pierre warion', 'bruno torresani']","['Professeur (PR)', 'Doctorant (Phd Student)']",['ALEA'],['Current'],[],[]
3983648,hal-03494439,An Inverse Problem: Recovering The Fragmentation Kernel From The Short-Time Behaviour Of The Fragmentation Equation,2024,Annales Henri Lebesgue,ART,10.5802/ahl.207,"Magali Tournus, Marie Doumic, Miguel Escobedo",['magali tournus'],['Maître de Conférences (MCF F)'],['AA'],['Current'],"['marie doumic', 'miguel escobedo']","['Modelling and Analysis for Medical and Biological Applications', 'Universidad del País Vasco [Espainia] / Euskal Herriko Unibertsitatea [España] = University of the Basque Country [Spain] = Université du pays basque [Espagne]']"
4605634,hal-04605634,New Results On Biorthogonal Families In Cylindrical Domains And Controllability Consequences,2024,Unknown,Unknown,Unknown,"Assia Benabdallah, F Ammar Khodja, L De Teresa, Manuel González-Burgos, Morgan Morancey","['assia benabdallah', 'morgan morancey']","['Professeure Émérite (PREM)', 'Maître de Conférences (MCF H)']",['AA'],['Current'],"['f ammar khodja', 'l de teresa', 'manuel gonzalez burgos']","['Unknown', 'Laboratoire de Mathématiques de Besançon (UMR 6623)', 'Universidad de Sevilla = University of Seville']"
4603170,hal-04603170,Front Propagation Through A Perforated Wall,2024,Unknown,Unknown,Unknown,"François Hamel, Henri Berestycki, Hiroshi Matano",['francois hamel'],['Professeur (PR)'],['AA'],['Current'],"['henri berestycki', 'hiroshi matano']","[""Centre d'Analyse et de Mathématique sociales"", 'Meiji Institute for Advanced Study of Mathematical Sciences']"
4601486,hal-04601486,A Godunov-Type Scheme And A Relaxation Scheme For Second Order Turbulence Models,2024,Unknown,Unknown,Unknown,"Jean-Marc Hérard, Martin Ferrand, Nadjib Bennoura-Bouchiba",['jean marc herard'],['Membre Associé'],['AA'],['Current'],"['martin ferrand', 'nadjib bennoura bouchiba']",['EDF']
4599893,hal-04599893,"Dedekind Sums And Mean Square Value Of L(1, Χ) Over Subgroups",2024,Publ. Math. Debrecen,ART,Unknown,Stéphane Louboutin,['stephane louboutin'],['Professeur Émérite (PREM)'],['AGLR'],['Current'],[],[]
